number_1,number_2,number_3
-14,-4,53
98,66,81
-76,14,80
45,40,64
-12,9,5
-38,79,72
-100,1,99
-49,-66,-29
-41,-87,97
50,46,1
-76,97,-65
76,-89,82
-56,80,-86
-73,-31,56
-96,3,43
-83,38,13
-93,12,-51
27,-36,-20
36,64,-24
26,-2,97
66,46,-4
-24,-34,-85
-23,-27,-54
23,34,37
20,15,-11
-54,50,-32
-52,-7,26
46,31,-3
37,25,-49
6,-7,-41
74,-63,-41
-35,-69,34
95,-47,91
-65,2,2
-23,85,68
11,-18,-43
-81,70,-95
-37,75,-70
78,9,-9
8,-2,-32
20,89,17
-47,-22,-63
21,-49,-6
-95,-25,80
-33,21,-64
4,-66,23
-4,-70,-65
-68,78,83
-73,75,-64
40,-24,52
90,-52,33
56,-10,12
-42,37,-2
7,-41,14
-48,-100,-61
-54,86,-2
68,67,45
-23,-38,68
41,72,29
-20,59,68
-40,28,14
54,68,-43
-75,-16,76
-32,-67,56
82,-6,-95
-88,5,52
-36,-57,-7
26,-79,36
12,38,-55
29,86,19
36,-27,35
-55,34,3
-19,-69,-68
-29,63,-22
-49,-95,60
22,-54,22
70,0,-33
100,-22,-20
-58,-19,-64
-41,68,-37
100,51,-23
-96,57,84
-33,62,-67
-82,77,26
-45,-67,72
74,0,23
-49,-24,-8
8,-33,-63
-53,84,42
96,-19,-81
86,29,92
54,-89,28
-56,10,-11
25,25,46
-97,54,-37
98,42,27
65,-37,52
-90,-14,-1
-46,83,23
82,33,60
86,-40,52
50,17,-28
65,85,-39
-56,12,42
12,-75,-3
16,-21,-32
-36,-67,37
15,-82,-86
-83,9,-73
31,-19,-40
-48,81,48
91,-32,-79
18,74,37
-22,64,49
-94,59,-64
10,-29,-55
79,-33,99
-70,66,-8
33,-86,-98
74,36,44
-40,-19,-90
-9,78,11
21,-59,-26
31,68,-41
-40,71,-73
29,-71,53
33,-14,-81
69,-25,-1
76,52,67
-100,32,-35
9,-91,-27
-10,97,-24
-32,30,90
54,-65,60
87,-72,-47
80,-78,30
3,-99,-14
31,-26,39
-78,-2,-58
-76,-65,73
80,-45,-59
12,92,-18
-25,-22,-77
40,66,71
-28,46,46
-62,42,-60
39,8,88
96,87,51
-63,44,84
-65,15,-32
62,71,-13
-80,-89,63
86,-82,49
71,-56,2
-80,4,29
75,-5,-4
-86,-54,-8
-33,-91,100
93,76,-73
-82,-98,-83
-28,17,-96
7,20,-28
47,-98,-37
37,-25,13
-10,36,-39
-63,-87,73
59,-100,27
-86,50,62
5,-32,-83
-97,-52,-59
2,-65,68
-21,31,-82
-14,-26,14
-35,42,82
7,-46,61
2,-17,20
-32,83,-21
-79,92,-30
73,63,40
-53,64,58
99,54,87
-42,-79,-84
-98,-52,-19
82,22,-72
71,-42,43
-65,-49,67
-93,69,-54
-48,58,-64
-84,-29,-21
96,-98,35
86,37,-62
-10,72,-28
-66,67,65
55,4,83
-18,-100,-69
-19,-72,8
73,-61,32
-89,-67,64
-51,40,50
-93,-55,-83
47,-7,98
43,13,38
-98,85,-69
55,-6,41
47,19,-75
-76,-85,-99
-63,45,6
70,15,89
49,38,2
-67,-15,-27
0,-25,-63
18,-75,35
27,48,-96
37,-36,22
85,-4,-31
55,-79,11
50,-97,-12
-17,-99,54
63,56,-65
-9,94,94
-14,-36,-84
8,-21,-31
77,-89,-50
6,-83,-58
41,35,6
-4,21,-4
89,56,93
-7,84,-16
74,-85,-48
88,39,96
-43,-44,-3
-5,-100,-24
-25,-48,49
3,56,88
10,-9,70
25,-12,-80
-32,26,-11
38,-48,87
40,90,31
-51,94,-4
24,-9,-43
0,78,-92
-75,85,-76
-79,82,2
-45,-44,73
90,-95,-36
83,-71,-6
28,8,-66
84,-14,27
-52,67,52
-85,-1,74
20,61,68
50,77,53
-24,94,54
38,-59,-74
-36,-100,-63
-60,-19,-89
-26,78,2
93,-88,95
-52,-78,-54
9,0,78
-31,46,-70
13,-98,82
85,-93,79
92,11,84
-2,-48,49
-52,-45,-72
-45,68,42
98,67,-23
-20,-85,68
-37,-78,48
-2,81,-62
54,-97,-88
47,-87,-6
-72,-66,-96
-43,-91,-67
-74,65,37
-30,-54,-33
-60,16,-45
92,100,66
-27,45,89
-49,34,-85
9,-6,-97
4,98,44
11,-84,88
45,59,29
-27,83,18
32,84,79
-53,69,78
84,12,30
34,-1,-13
-31,-51,-99
-80,-95,-62
-41,-9,97
-52,49,-11
-56,59,-23
43,85,43
-57,-39,95
-12,-52,52
-42,50,-45
48,-34,43
19,-54,61
32,15,-68
-94,70,-38
54,75,14
24,-64,-50
51,-86,-61
50,-57,67
-65,71,93
36,55,-44
-10,-25,50
-16,9,-48
-41,47,-32
-39,-46,93
-69,38,-99
99,-80,-78
35,-4,-13
12,-88,-65
68,67,16
-86,52,99
-45,41,69
-94,-20,-7
-86,-16,-78
54,-61,98
-73,-95,-66
24,11,17
-10,-85,60
-95,89,6
-58,-48,86
-68,63,43
-42,38,10
60,67,-66
36,-50,85
-58,-73,16
71,-87,-97
86,-92,69
-3,-72,-11
84,-80,-33
-51,95,-39
-44,-13,-77
4,69,89
15,28,-35
-14,-40,27
65,-68,-82
-85,-67,-27
-12,-3,77
-47,11,-55
-43,70,-71
26,41,-48
-47,-25,74
85,1,-30
60,-1,-23
-55,-73,-2
66,84,71
-39,10,10
-22,-55,-29
-68,-53,71
-23,-69,56
-6,29,19
-11,-39,50
78,-84,62
-6,67,-63
53,74,73
82,-28,-99
0,-98,7
-12,-39,-61
-98,50,0
-42,-61,46
-27,-23,-34
100,-38,97
25,100,-57
-11,61,37
-42,-13,-100
-25,74,83
-3,22,-83
39,37,31
-82,-42,33
-14,50,-74
90,12,6
-16,83,-45
-9,-4,-93
57,-89,3
61,89,10
-32,15,8
39,-26,-97
79,32,-31
72,-40,-47
71,-70,-43
-38,9,53
-18,28,-31
-84,87,97
-100,-78,-64
71,-89,-1
99,-33,74
100,67,-4
-74,-97,-5
16,-41,-78
30,97,55
37,84,8
-82,-35,-42
61,63,32
-60,-99,-54
-7,67,-94
96,58,2
100,61,-21
-31,-99,-70
-20,14,92
-53,100,-25
-40,93,-58
59,77,39
33,-88,20
-50,54,-58
78,62,-33
7,-81,-65
1,2,-17
13,-81,97
-91,95,-61
-79,76,-77
-98,6,-82
84,-69,-75
-42,47,-25
-27,65,-54
-36,-63,63
30,47,56
33,66,-74
78,86,14
78,60,-13
88,-48,45
-39,-12,6
49,79,-38
-70,-93,94
-54,-64,49
29,-36,-61
31,-4,48
64,9,-65
-62,56,-100
-62,-32,78
-7,-83,-76
-32,-20,35
72,-30,-80
36,-49,-41
56,-4,36
29,64,-12
-90,65,48
-74,66,-91
38,6,4
-2,96,5
72,37,-88
20,19,-33
-32,-98,-5
-63,36,50
21,-86,-40
24,26,53
79,87,-14
7,-28,-29
-71,-24,-94
-91,63,0
-14,76,-57
-80,-24,-63
-4,-29,56
-6,-34,1
98,-66,-22
-40,-16,81
-38,78,-91
-8,-71,84
72,-12,-100
-19,-24,-43
92,48,23
0,65,-25
17,1,-59
33,-5,-55
24,-100,-54
85,12,74
-98,-58,-13
-94,-57,-2
7,85,63
16,80,7
43,-76,-11
35,-41,-53
-35,-32,-15
6,25,-74
68,-38,99
45,72,-37
-11,37,-8
39,-96,-6
-72,4,-18
36,65,71
-69,94,-35
-18,-9,14
-50,5,-22
-38,23,-93
47,-10,67
-6,77,-41
54,22,-22
-95,-61,-75
-84,-33,39
-71,52,62
-84,-41,92
9,-64,-22
12,59,81
-76,81,4
81,34,-47
49,3,-17
-73,-75,15
-25,100,75
3,-59,-77
-55,83,12
-41,77,92
2,22,21
-64,86,7
-32,30,72
-6,-25,-38
-28,-88,-41
-30,-4,80
48,-3,-71
-24,1,-72
-55,-20,100
29,-50,19
-43,-30,-30
21,64,99
-20,-39,27
-15,96,-96
-7,-37,-4
-19,65,-89
65,-14,-52
-47,-96,-73
-76,76,-68
54,-98,49
-21,56,92
18,76,45
7,63,4
-39,-11,67
42,-84,-22
48,82,45
-74,-72,-73
-1,-63,-72
-57,32,-24
57,-63,3
86,-17,63
78,-71,88
-5,41,71
-47,-54,87
-94,49,38
-45,-11,24
44,-71,-13
56,30,91
-9,10,52
61,-38,-24
-24,46,-97
-19,-50,-86
-100,16,87
-60,-10,92
90,1,69
91,-6,-97
-64,-48,-91
-41,92,-14
63,62,-89
-32,-18,59
70,-49,60
-8,-22,-30
-37,41,-73
42,-70,-37
93,-62,-29
-62,-8,18
72,-14,-72
-24,-3,-73
19,-75,-1
-60,39,-2
43,-76,11
-16,-73,-48
11,16,-33
-32,69,2
9,-8,-91
90,-93,-7
62,-52,18
-57,77,80
39,-57,-56
-49,2,-82
9,-77,27
-90,57,-83
-63,71,47
32,78,11
-29,-66,39
37,90,-74
8,23,-48
-16,47,54
-20,45,73
-74,-83,74
85,-41,-51
-47,12,-75
-27,-8,19
-47,-20,81
51,-99,61
-49,-60,-31
73,35,-33
-81,-60,-74
-39,-38,-8
47,81,-87
-95,-84,-93
68,5,22
23,-21,3
79,26,-64
-22,-73,59
-53,-42,-52
-45,-8,-93
98,-41,-100
-88,51,-60
-4,-67,-73
71,25,15
72,60,-8
43,-11,-20
7,-93,-63
-92,17,-84
100,-44,-63
-87,-26,-87
-15,-72,-79
1,-19,61
68,-48,54
-100,13,-50
0,38,37
-92,49,85
78,54,-42
27,-65,-59
-5,-91,-1
-69,30,14
51,-75,36
-48,22,60
-70,-76,-71
19,21,-67
-69,-23,-64
58,84,80
-12,-40,70
-80,-6,17
-21,68,-8
8,79,36
-66,-78,12
30,74,-75
11,43,82
79,80,41
-84,51,-94
-94,-36,37
-35,28,40
-28,54,74
43,-13,-63
79,-84,68
19,39,-92
16,61,-95
0,25,91
44,10,-87
73,50,-23
-6,-27,90
33,32,-93
30,-41,40
-71,-18,-5
0,-8,-73
-61,65,-27
-17,-10,-46
